symbol,date,open,high,low,close,volume,change,changePercent,vwap
GOOGL,2025-07-03,178.5,179.67,177.05,179.53,21689729,1.03,0.57703,178.6875
GOOGL,2025-07-02,175.54,178.86,175.07,178.64,29128947,3.1,1.77,177.0275
GOOGL,2025-07-01,175.74,176.09,173.53,175.84,35904526,0.105,0.05690224,175.3
GOOGL,2025-06-30,180.78,181.23,174.58,176.23,63378900,-4.55,-2.52,178.205
GOOGL,2025-06-27,173.54,178.68,171.73,178.53,108140200,4.99,2.88,175.62
GOOGL,2025-06-26,172.43,173.69,169.94,173.54,31796700,1.11,0.64374,172.4
GOOGL,2025-06-25,167.63,172.36,167.55,170.68,35479000,3.05,1.82,169.555
GOOGL,2025-06-24,166.92,168.22,166.13,166.77,40524312,-0.15,-0.08986341,167.01
GOOGL,2025-06-23,166.27,167.34,162.0,165.19,57671000,-1.08,-0.64955,165.2
GOOGL,2025-06-20,173.95,174.34,165.46,166.64,75659917,-7.31,-4.2,170.0975
GOOGL,2025-06-18,176.01,176.56,173.2,173.32,28707524,-2.69,-1.53,174.7725
GOOGL,2025-06-17,175.7,177.36,174.58,175.95,24973043,0.25,0.14229,175.8975
GOOGL,2025-06-16,174.73,176.94,174.65,176.77,27389208,2.04,1.17,175.7725
GOOGL,2025-06-13,172.44,177.13,172.39,174.67,27663107,2.23,1.29,174.1575
GOOGL,2025-06-12,176.18,176.72,174.75,175.7,20941900,-0.48,-0.27245,175.8375
GOOGL,2025-06-11,179.77,180.37,176.75,177.35,31646800,-2.42,-1.35,178.56
GOOGL,2025-06-10,176.2,181.11,174.91,178.6,61766121,2.4,1.36,177.705
GOOGL,2025-06-09,174.54,176.47,174.37,176.09,28935906,1.55,0.88805,175.3675
GOOGL,2025-06-06,170.83,174.5,170.83,173.68,35731832,2.85,1.67,172.46
GOOGL,2025-06-05,170.34,170.93,167.59,168.21,36444564,-2.13,-1.25,169.2675
GOOGL,2025-06-04,166.74,168.22,166.36,168.05,26900838,1.31,0.78565,167.3425
GOOGL,2025-06-03,167.49,168.48,165.28,166.18,45084903,-1.31,-0.78214,166.8575
GOOGL,2025-06-02,167.84,169.87,167.39,169.03,38612300,1.19,0.70901,168.5325
GOOGL,2025-05-30,171.35,172.21,167.44,171.74,52639911,0.39,0.2276,170.685
GOOGL,2025-05-29,174.0,174.42,170.63,171.86,29373803,-2.14,-1.23,172.7275
GOOGL,2025-05-28,173.16,175.27,171.91,172.36,34784000,-0.8,-0.462,173.175
GOOGL,2025-05-27,170.16,173.17,170.0,172.9,37995700,2.74,1.61,171.5575
GOOGL,2025-05-23,169.06,169.96,167.89,168.47,35211439,-0.585,-0.34899,168.845
GOOGL,2025-05-22,171.85,176.77,170.71,170.87,74864418,-0.98,-0.57026,172.55
GOOGL,2025-05-21,163.69,173.14,163.56,168.56,73416000,4.87,2.98,167.2375
GOOGL,2025-05-20,166.43,168.5,162.9,163.98,46607700,-2.45,-1.47,165.4525
GOOGL,2025-05-19,164.51,166.64,164.22,166.54,30426100,2.03,1.23,165.4775
GOOGL,2025-05-16,167.73,169.35,165.62,166.19,42846925,-1.53,-0.91814,167.2225
GOOGL,2025-05-15,165.84,166.21,162.37,163.96,33146700,-1.88,-1.13,164.595
GOOGL,2025-05-14,159.96,167.0,159.61,165.37,48755900,5.41,3.38,162.985
GOOGL,2025-05-13,158.79,160.57,156.16,159.53,42382126,0.74,0.46602,158.7625
GOOGL,2025-05-12,157.49,159.1,156.25,158.46,44138818,0.975,0.61591,157.825
GOOGL,2025-05-09,154.17,155.05,152.2,152.75,32435300,-1.42,-0.92106,153.5425
GOOGL,2025-05-08,155.0,155.93,152.9,154.28,57498700,-0.72,-0.46452,154.5275
GOOGL,2025-05-07,164.08,165.0,147.84,151.38,127747554,-12.7,-7.74,157.075
GOOGL,2025-05-06,162.17,164.8,161.19,163.23,21277210,1.06,0.65364,162.8475
GOOGL,2025-05-05,163.0,165.39,162.72,164.21,21341814,1.21,0.74233,163.83
GOOGL,2025-05-02,163.41,164.97,161.87,164.03,25715005,0.625,0.37941,163.57
GOOGL,2025-05-01,160.45,161.95,158.91,161.3,30203248,0.85,0.52976,160.6525
GOOGL,2025-04-30,157.98,159.27,155.4,158.8,34981100,0.825,0.51905,157.8625
GOOGL,2025-04-29,160.32,160.74,157.52,160.16,26809000,-0.165,-0.0998004,159.685
GOOGL,2025-04-28,162.43,163.15,158.6,160.61,29745800,-1.81,-1.12,161.1975
GOOGL,2025-04-25,165.07,166.1,161.04,161.96,56034000,-3.11,-1.88,163.5425
